owner,repo,html_url,default_branch,source,selection_reason,sampled_at
parnurzeal,gorequest,https://github.com/parnurzeal/gorequest,develop,github_search_api:library_topics:p3,stratum: library-tagged active repos (stars>800),2026-06-23T05:31:03.635167+00:00
libcpr,cpr,https://github.com/libcpr/cpr,master,github_search_api:library_topics:p1,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:54.400916+00:00
harbor-framework,harbor,https://github.com/harbor-framework/harbor,main,github_search_api:python_active:p1,stratum: active Python OSS (stars>800),2026-06-23T05:29:09.405269+00:00
alecmuffett,real-world-onion-sites,https://github.com/alecmuffett/real-world-onion-sites,master,github_search_api:python_active:p2,stratum: active Python OSS (stars>800),2026-06-23T05:29:14.447078+00:00
sshuttle,sshuttle,https://github.com/sshuttle/sshuttle,master,github_search_api:python_active:p3,stratum: active Python OSS (stars>800),2026-06-23T05:29:19.460006+00:00
airbytehq,airbyte,https://github.com/airbytehq/airbyte,master,github_search_api:python_active:p1,stratum: active Python OSS (stars>800),2026-06-23T05:29:09.405151+00:00
TheR1D,shell_gpt,https://github.com/TheR1D/shell_gpt,main,github_search_api:python_active:p3,stratum: active Python OSS (stars>800),2026-06-23T05:29:19.459932+00:00
tonquer,JMComic-qt,https://github.com/tonquer/JMComic-qt,main,github_search_api:python_active:p3,stratum: active Python OSS (stars>800),2026-06-23T05:29:19.460056+00:00
ByteDance-Seed,VeOmni,https://github.com/ByteDance-Seed/VeOmni,main,github_search_api:python_active:p2,stratum: active Python OSS (stars>800),2026-06-23T05:29:14.447071+00:00
OCA,OpenUpgrade,https://github.com/OCA/OpenUpgrade,19.0,github_search_api:python_active:p1,stratum: active Python OSS (stars>800),2026-06-23T05:29:09.405253+00:00
flosell,trailscraper,https://github.com/flosell/trailscraper,master,github_search_api:python_active:p3,stratum: active Python OSS (stars>800),2026-06-23T05:29:19.460131+00:00
AcademySoftwareFoundation,rez,https://github.com/AcademySoftwareFoundation/rez,main,github_search_api:python_active:p3,stratum: active Python OSS (stars>800),2026-06-23T05:29:19.460071+00:00
PrimeIntellect-ai,prime-rl,https://github.com/PrimeIntellect-ai/prime-rl,main,github_search_api:python_active:p1,stratum: active Python OSS (stars>800),2026-06-23T05:29:09.405283+00:00
modelscope,DiffSynth-Studio,https://github.com/modelscope/DiffSynth-Studio,main,github_search_api:python_active:p2,stratum: active Python OSS (stars>800),2026-06-23T05:29:14.446880+00:00
keithrozario,Klayers,https://github.com/keithrozario/Klayers,master,github_search_api:python_active:p3,stratum: active Python OSS (stars>800),2026-06-23T05:29:19.460028+00:00
NVIDIA-NeMo,Guardrails,https://github.com/NVIDIA-NeMo/Guardrails,develop,github_search_api:python_active:p3,stratum: active Python OSS (stars>800),2026-06-23T05:29:19.459961+00:00
volcengine,OpenViking,https://github.com/volcengine/OpenViking,main,github_search_api:python_active:p2,stratum: active Python OSS (stars>800),2026-06-23T05:29:14.446965+00:00
nvaccess,nvda,https://github.com/nvaccess/nvda,master,github_search_api:python_active:p3,stratum: active Python OSS (stars>800),2026-06-23T05:29:19.460077+00:00
google,tunix,https://github.com/google/tunix,main,github_search_api:python_active:p2,stratum: active Python OSS (stars>800),2026-06-23T05:29:14.446913+00:00
MashiroSaber03,Saber-Translator,https://github.com/MashiroSaber03/Saber-Translator,main,github_search_api:python_active:p3,stratum: active Python OSS (stars>800),2026-06-23T05:29:19.460053+00:00
skypilot-org,skypilot,https://github.com/skypilot-org/skypilot,master,github_search_api:python_active:p2,stratum: active Python OSS (stars>800),2026-06-23T05:29:14.447088+00:00
kedro-org,kedro,https://github.com/kedro-org/kedro,main,github_search_api:python_active:p2,stratum: active Python OSS (stars>800),2026-06-23T05:29:14.447009+00:00
mani-skill,ManiSkill,https://github.com/mani-skill/ManiSkill,main,github_search_api:python_active:p2,stratum: active Python OSS (stars>800),2026-06-23T05:29:14.446884+00:00
castorini,pyserini,https://github.com/castorini/pyserini,master,github_search_api:python_active:p3,stratum: active Python OSS (stars>800),2026-06-23T05:29:19.459942+00:00
frappe,erpnext,https://github.com/frappe/erpnext,develop,github_search_api:python_active:p1,stratum: active Python OSS (stars>800),2026-06-23T05:29:09.405320+00:00
ycdxsb,PocOrExp_in_Github,https://github.com/ycdxsb/PocOrExp_in_Github,main,github_search_api:python_active:p1,stratum: active Python OSS (stars>800),2026-06-23T05:29:09.405411+00:00
Textualize,rich,https://github.com/Textualize/rich,main,github_search_api:python_active:p3,stratum: active Python OSS (stars>800),2026-06-23T05:29:19.459891+00:00
Misaka-blog,chromego_merge,https://github.com/Misaka-blog/chromego_merge,main,github_search_api:python_active:p3,stratum: active Python OSS (stars>800),2026-06-23T05:29:19.460087+00:00
intel,auto-round,https://github.com/intel/auto-round,main,github_search_api:python_active:p2,stratum: active Python OSS (stars>800),2026-06-23T05:29:14.446873+00:00
voxel51,fiftyone,https://github.com/voxel51/fiftyone,develop,github_search_api:python_active:p3,stratum: active Python OSS (stars>800),2026-06-23T05:29:19.460099+00:00
uriyyo,fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,main,github_search_api:python_active:p2,stratum: active Python OSS (stars>800),2026-06-23T05:29:14.447096+00:00
yoshitomo-matsubara,torchdistill,https://github.com/yoshitomo-matsubara/torchdistill,main,github_search_api:python_active:p1,stratum: active Python OSS (stars>800),2026-06-23T05:29:09.405426+00:00
XiaoMi,xiaomi-miloco,https://github.com/XiaoMi/xiaomi-miloco,main,github_search_api:python_active:p1,stratum: active Python OSS (stars>800),2026-06-23T05:29:09.405288+00:00
Q00,ouroboros,https://github.com/Q00/ouroboros,main,github_search_api:python_active:p1,stratum: active Python OSS (stars>800),2026-06-23T05:29:09.405438+00:00
flagos-ai,FlagGems,https://github.com/flagos-ai/FlagGems,master,github_search_api:python_active:p1,stratum: active Python OSS (stars>800),2026-06-23T05:29:09.405196+00:00
OpenHands,OpenHands,https://github.com/OpenHands/OpenHands,main,github_search_api:python_active:p1,stratum: active Python OSS (stars>800),2026-06-23T05:29:09.405363+00:00
PyAV-Org,PyAV,https://github.com/PyAV-Org/PyAV,main,github_search_api:python_active:p2,stratum: active Python OSS (stars>800),2026-06-23T05:29:14.446968+00:00
SuanmoSuanyangTechnology,MemoryBear,https://github.com/SuanmoSuanyangTechnology/MemoryBear,main,github_search_api:python_active:p3,stratum: active Python OSS (stars>800),2026-06-23T05:29:19.459881+00:00
potpie-ai,potpie,https://github.com/potpie-ai/potpie,main,github_search_api:python_active:p2,stratum: active Python OSS (stars>800),2026-06-23T05:29:14.446896+00:00
areal-project,AReaL,https://github.com/areal-project/AReaL,main,github_search_api:python_active:p2,stratum: active Python OSS (stars>800),2026-06-23T05:29:14.447046+00:00
kernalix7,winpodx,https://github.com/kernalix7/winpodx,main,github_search_api:python_active:p3,stratum: active Python OSS (stars>800),2026-06-23T05:29:19.459948+00:00
8680,GOODBYEADS,https://github.com/8680/GOODBYEADS,master,github_search_api:python_active:p2,stratum: active Python OSS (stars>800),2026-06-23T05:29:14.447002+00:00
opensquilla,opensquilla,https://github.com/opensquilla/opensquilla,main,github_search_api:python_active:p2,stratum: active Python OSS (stars>800),2026-06-23T05:29:14.447061+00:00
davila7,claude-code-templates,https://github.com/davila7/claude-code-templates,main,github_search_api:python_active:p2,stratum: active Python OSS (stars>800),2026-06-23T05:29:14.446927+00:00
goauthentik,authentik,https://github.com/goauthentik/authentik,main,github_search_api:python_active:p2,stratum: active Python OSS (stars>800),2026-06-23T05:29:14.446962+00:00
SemiAnalysisAI,InferenceX,https://github.com/SemiAnalysisAI/InferenceX,main,github_search_api:python_active:p1,stratum: active Python OSS (stars>800),2026-06-23T05:29:09.405360+00:00
millylee,anyrouter-check-in,https://github.com/millylee/anyrouter-check-in,main,github_search_api:python_active:p3,stratum: active Python OSS (stars>800),2026-06-23T05:29:19.460081+00:00
omnimind-ai,OmniInfer,https://github.com/omnimind-ai/OmniInfer,main,github_search_api:python_active:p1,stratum: active Python OSS (stars>800),2026-06-23T05:29:09.405378+00:00
djlint,djLint,https://github.com/djlint/djLint,master,github_search_api:python_active:p1,stratum: active Python OSS (stars>800),2026-06-23T05:29:09.405347+00:00
adminlove520,AI-Account-Toolkit,https://github.com/adminlove520/AI-Account-Toolkit,main,github_search_api:python_active:p3,stratum: active Python OSS (stars>800),2026-06-23T05:29:19.459957+00:00
pdm-project,pdm,https://github.com/pdm-project/pdm,main,github_search_api:python_active:p3,stratum: active Python OSS (stars>800),2026-06-23T05:29:19.460152+00:00
python,cpython,https://github.com/python/cpython,main,github_search_api:python_active:p2,stratum: active Python OSS (stars>800),2026-06-23T05:29:14.447004+00:00
Automattic,harper,https://github.com/Automattic/harper,master,github_search_api:rust_active:p3,stratum: active Rust OSS (stars>800),2026-06-23T05:29:48.548226+00:00
cocoindex-io,cocoindex,https://github.com/cocoindex-io/cocoindex,main,github_search_api:rust_active:p2,stratum: active Rust OSS (stars>800),2026-06-23T05:29:43.553857+00:00
rivet-dev,secure-exec,https://github.com/rivet-dev/secure-exec,main,github_search_api:rust_active:p2,stratum: active Rust OSS (stars>800),2026-06-23T05:29:43.553969+00:00
wealthfolio,wealthfolio,https://github.com/wealthfolio/wealthfolio,main,github_search_api:rust_active:p3,stratum: active Rust OSS (stars>800),2026-06-23T05:29:48.548189+00:00
quarylabs,sqruff,https://github.com/quarylabs/sqruff,main,github_search_api:rust_active:p3,stratum: active Rust OSS (stars>800),2026-06-23T05:29:48.548156+00:00
iwe-org,iwe,https://github.com/iwe-org/iwe,master,github_search_api:rust_active:p3,stratum: active Rust OSS (stars>800),2026-06-23T05:29:48.548073+00:00
kanidm,kanidm,https://github.com/kanidm/kanidm,master,github_search_api:rust_active:p1,stratum: active Rust OSS (stars>800),2026-06-23T05:29:38.397646+00:00
madsmtm,objc2,https://github.com/madsmtm/objc2,main,github_search_api:rust_active:p3,stratum: active Rust OSS (stars>800),2026-06-23T05:29:48.548174+00:00
wild-linker,wild,https://github.com/wild-linker/wild,main,github_search_api:rust_active:p1,stratum: active Rust OSS (stars>800),2026-06-23T05:29:38.397434+00:00
voidzero-dev,vite-plus,https://github.com/voidzero-dev/vite-plus,main,github_search_api:rust_active:p2,stratum: active Rust OSS (stars>800),2026-06-23T05:29:43.553924+00:00
rust-lang,portable-simd,https://github.com/rust-lang/portable-simd,master,github_search_api:rust_active:p1,stratum: active Rust OSS (stars>800),2026-06-23T05:29:38.397653+00:00
regolith-labs,ore,https://github.com/regolith-labs/ore,master,github_search_api:rust_active:p3,stratum: active Rust OSS (stars>800),2026-06-23T05:29:48.548318+00:00
pgcentralfoundation,pgrx,https://github.com/pgcentralfoundation/pgrx,develop,github_search_api:rust_active:p3,stratum: active Rust OSS (stars>800),2026-06-23T05:29:48.548241+00:00
katanemo,plano,https://github.com/katanemo/plano,main,github_search_api:rust_active:p3,stratum: active Rust OSS (stars>800),2026-06-23T05:29:48.548287+00:00
ClementTsang,bottom,https://github.com/ClementTsang/bottom,main,github_search_api:rust_active:p1,stratum: active Rust OSS (stars>800),2026-06-23T05:29:38.397400+00:00
git-ai-project,git-ai,https://github.com/git-ai-project/git-ai,main,github_search_api:rust_active:p1,stratum: active Rust OSS (stars>800),2026-06-23T05:29:38.397659+00:00
moq-dev,moq,https://github.com/moq-dev/moq,main,github_search_api:rust_active:p1,stratum: active Rust OSS (stars>800),2026-06-23T05:29:38.397521+00:00
zed-industries,zed,https://github.com/zed-industries/zed,main,github_search_api:rust_active:p2,stratum: active Rust OSS (stars>800),2026-06-23T05:29:43.553942+00:00
facebook,pyrefly,https://github.com/facebook/pyrefly,main,github_search_api:rust_active:p1,stratum: active Rust OSS (stars>800),2026-06-23T05:29:38.397604+00:00
kata-containers,kata-containers,https://github.com/kata-containers/kata-containers,main,github_search_api:rust_active:p1,stratum: active Rust OSS (stars>800),2026-06-23T05:29:38.397541+00:00
apache,iceberg-rust,https://github.com/apache/iceberg-rust,main,github_search_api:rust_active:p2,stratum: active Rust OSS (stars>800),2026-06-23T05:29:43.554035+00:00
rust-lang,docs.rs,https://github.com/rust-lang/docs.rs,main,github_search_api:rust_active:p1,stratum: active Rust OSS (stars>800),2026-06-23T05:29:38.397405+00:00
ogulcancelik,herdr,https://github.com/ogulcancelik/herdr,master,github_search_api:rust_active:p3,stratum: active Rust OSS (stars>800),2026-06-23T05:29:48.548368+00:00
adysec,tracker,https://github.com/adysec/tracker,main,github_search_api:rust_active:p1,stratum: active Rust OSS (stars>800),2026-06-23T05:29:38.397531+00:00
sashiko-dev,sashiko,https://github.com/sashiko-dev/sashiko,main,github_search_api:rust_active:p3,stratum: active Rust OSS (stars>800),2026-06-23T05:29:48.548309+00:00
darkrenaissance,darkfi,https://github.com/darkrenaissance/darkfi,master,github_search_api:rust_active:p3,stratum: active Rust OSS (stars>800),2026-06-23T05:29:48.548333+00:00
longbridge,gpui-component,https://github.com/longbridge/gpui-component,main,github_search_api:rust_active:p1,stratum: active Rust OSS (stars>800),2026-06-23T05:29:38.397635+00:00
jj-vcs,jj,https://github.com/jj-vcs/jj,main,github_search_api:rust_active:p2,stratum: active Rust OSS (stars>800),2026-06-23T05:29:43.554091+00:00
qufei1993,skills-hub,https://github.com/qufei1993/skills-hub,main,github_search_api:rust_active:p2,stratum: active Rust OSS (stars>800),2026-06-23T05:29:43.553932+00:00
influxdata,influxdb,https://github.com/influxdata/influxdb,main,github_search_api:rust_active:p3,stratum: active Rust OSS (stars>800),2026-06-23T05:29:48.548297+00:00
FyroxEngine,Fyrox,https://github.com/FyroxEngine/Fyrox,master,github_search_api:rust_active:p3,stratum: active Rust OSS (stars>800),2026-06-23T05:29:48.548361+00:00
o2sh,onefetch,https://github.com/o2sh/onefetch,main,github_search_api:rust_active:p3,stratum: active Rust OSS (stars>800),2026-06-23T05:29:48.548336+00:00
MystenLabs,sui,https://github.com/MystenLabs/sui,main,github_search_api:rust_active:p3,stratum: active Rust OSS (stars>800),2026-06-23T05:29:48.548090+00:00
hydro-project,hydro,https://github.com/hydro-project/hydro,main,github_search_api:rust_active:p2,stratum: active Rust OSS (stars>800),2026-06-23T05:29:43.553954+00:00
facebook,sapling,https://github.com/facebook/sapling,main,github_search_api:rust_active:p2,stratum: active Rust OSS (stars>800),2026-06-23T05:29:43.553873+00:00
juspay,hyperswitch,https://github.com/juspay/hyperswitch,main,github_search_api:rust_active:p2,stratum: active Rust OSS (stars>800),2026-06-23T05:29:43.553989+00:00
zama-ai,fhevm,https://github.com/zama-ai/fhevm,main,github_search_api:rust_active:p2,stratum: active Rust OSS (stars>800),2026-06-23T05:29:43.553948+00:00
vortex-data,vortex,https://github.com/vortex-data/vortex,develop,github_search_api:rust_active:p3,stratum: active Rust OSS (stars>800),2026-06-23T05:29:48.548093+00:00
libnyanpasu,clash-nyanpasu,https://github.com/libnyanpasu/clash-nyanpasu,main,github_search_api:rust_active:p1,stratum: active Rust OSS (stars>800),2026-06-23T05:29:38.397452+00:00
supabase,wrappers,https://github.com/supabase/wrappers,main,github_search_api:rust_active:p1,stratum: active Rust OSS (stars>800),2026-06-23T05:29:38.397575+00:00
tock,tock,https://github.com/tock/tock,master,github_search_api:rust_active:p2,stratum: active Rust OSS (stars>800),2026-06-23T05:29:43.554043+00:00
openfootmanager,openfootmanager,https://github.com/openfootmanager/openfootmanager,develop,github_search_api:rust_active:p3,stratum: active Rust OSS (stars>800),2026-06-23T05:29:48.548122+00:00
foundry-rs,foundry,https://github.com/foundry-rs/foundry,master,github_search_api:rust_active:p2,stratum: active Rust OSS (stars>800),2026-06-23T05:29:43.553945+00:00
Kopuz-org,kopuz,https://github.com/Kopuz-org/kopuz,master,github_search_api:rust_active:p2,stratum: active Rust OSS (stars>800),2026-06-23T05:29:43.554051+00:00
yuezk,GlobalProtect-openconnect,https://github.com/yuezk/GlobalProtect-openconnect,main,github_search_api:rust_active:p1,stratum: active Rust OSS (stars>800),2026-06-23T05:29:38.397615+00:00
bottlerocket-os,bottlerocket,https://github.com/bottlerocket-os/bottlerocket,develop,github_search_api:rust_active:p2,stratum: active Rust OSS (stars>800),2026-06-23T05:29:43.554084+00:00
juspay,hyperswitch-prism,https://github.com/juspay/hyperswitch-prism,main,github_search_api:rust_active:p2,stratum: active Rust OSS (stars>800),2026-06-23T05:29:43.553997+00:00
open-telemetry,opentelemetry-rust,https://github.com/open-telemetry/opentelemetry-rust,main,github_search_api:rust_active:p1,stratum: active Rust OSS (stars>800),2026-06-23T05:29:38.397483+00:00
asterinas,asterinas,https://github.com/asterinas/asterinas,main,github_search_api:rust_active:p2,stratum: active Rust OSS (stars>800),2026-06-23T05:29:43.553979+00:00
jlcodes99,cockpit-tools,https://github.com/jlcodes99/cockpit-tools,main,github_search_api:rust_active:p2,stratum: active Rust OSS (stars>800),2026-06-23T05:29:43.553891+00:00
millionco,react-doctor,https://github.com/millionco/react-doctor,main,github_search_api:typescript_active:p3,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:33.295652+00:00
koala73,worldmonitor,https://github.com/koala73/worldmonitor,main,github_search_api:typescript_active:p1,stratum: active TypeScript OSS (stars>800),2026-06-23T05:29:53.613131+00:00
YunYouJun,valaxy,https://github.com/YunYouJun/valaxy,main,github_search_api:typescript_active:p3,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:33.295724+00:00
srizzon,git-city,https://github.com/srizzon/git-city,main,github_search_api:typescript_active:p2,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:28.468043+00:00
MetaMask,metamask-extension,https://github.com/MetaMask/metamask-extension,main,github_search_api:typescript_active:p2,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:28.468057+00:00
HerbertHe,iptv-sources,https://github.com/HerbertHe/iptv-sources,main,github_search_api:typescript_active:p3,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:33.295665+00:00
matter-js,matter.js,https://github.com/matter-js/matter.js,main,github_search_api:typescript_active:p2,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:28.467846+00:00
PostHog,posthog.com,https://github.com/PostHog/posthog.com,master,github_search_api:typescript_active:p3,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:33.295839+00:00
callstack,linaria,https://github.com/callstack/linaria,master,github_search_api:typescript_active:p1,stratum: active TypeScript OSS (stars>800),2026-06-23T05:29:53.613268+00:00
actions,setup-java,https://github.com/actions/setup-java,main,github_search_api:typescript_active:p3,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:33.295829+00:00
siyuan-note,siyuan,https://github.com/siyuan-note/siyuan,master,github_search_api:typescript_active:p2,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:28.468072+00:00
snapotter-hq,SnapOtter,https://github.com/snapotter-hq/SnapOtter,main,github_search_api:typescript_active:p3,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:33.295685+00:00
web-infra-dev,midscene,https://github.com/web-infra-dev/midscene,main,github_search_api:typescript_active:p1,stratum: active TypeScript OSS (stars>800),2026-06-23T05:29:53.613073+00:00
letta-ai,letta-code,https://github.com/letta-ai/letta-code,main,github_search_api:typescript_active:p2,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:28.467999+00:00
spacebarchat,server,https://github.com/spacebarchat/server,master,github_search_api:typescript_active:p2,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:28.467959+00:00
hydralauncher,hydra,https://github.com/hydralauncher/hydra,main,github_search_api:typescript_active:p2,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:28.467986+00:00
iOfficeAI,AionUi,https://github.com/iOfficeAI/AionUi,main,github_search_api:typescript_active:p2,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:28.468030+00:00
preset-io,agor,https://github.com/preset-io/agor,main,github_search_api:typescript_active:p3,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:33.295797+00:00
skillrecordings,egghead-next,https://github.com/skillrecordings/egghead-next,main,github_search_api:typescript_active:p2,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:28.467921+00:00
faastjs,faast.js,https://github.com/faastjs/faast.js,master,github_search_api:typescript_active:p2,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:28.467902+00:00
Effect-TS,effect,https://github.com/Effect-TS/effect,main,github_search_api:typescript_active:p1,stratum: active TypeScript OSS (stars>800),2026-06-23T05:29:53.613204+00:00
stablyai,orca,https://github.com/stablyai/orca,main,github_search_api:typescript_active:p1,stratum: active TypeScript OSS (stars>800),2026-06-23T05:29:53.613055+00:00
cweijan,vscode-office,https://github.com/cweijan/vscode-office,main,github_search_api:typescript_active:p3,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:33.295726+00:00
pockethost,pockethost,https://github.com/pockethost/pockethost,main,github_search_api:typescript_active:p3,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:33.295789+00:00
KittyCAD,modeling-app,https://github.com/KittyCAD/modeling-app,main,github_search_api:typescript_active:p3,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:33.295627+00:00
appsmithorg,appsmith,https://github.com/appsmithorg/appsmith,release,github_search_api:typescript_active:p3,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:33.295756+00:00
manaflow-ai,manaflow,https://github.com/manaflow-ai/manaflow,main,github_search_api:typescript_active:p2,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:28.467839+00:00
Nano-Collective,nanocoder,https://github.com/Nano-Collective/nanocoder,main,github_search_api:typescript_active:p3,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:33.295775+00:00
leaferjs,leafer-ui,https://github.com/leaferjs/leafer-ui,main,github_search_api:typescript_active:p2,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:28.467878+00:00
aws,aws-sdk-js-v3,https://github.com/aws/aws-sdk-js-v3,main,github_search_api:typescript_active:p3,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:33.295802+00:00
MetaMask,eth-phishing-detect,https://github.com/MetaMask/eth-phishing-detect,main,github_search_api:typescript_active:p1,stratum: active TypeScript OSS (stars>800),2026-06-23T05:29:53.613079+00:00
CherryHQ,cherry-studio,https://github.com/CherryHQ/cherry-studio,main,github_search_api:typescript_active:p1,stratum: active TypeScript OSS (stars>800),2026-06-23T05:29:53.613134+00:00
chenglou,pretext,https://github.com/chenglou/pretext,main,github_search_api:typescript_active:p1,stratum: active TypeScript OSS (stars>800),2026-06-23T05:29:53.613224+00:00
RunMaestro,Maestro,https://github.com/RunMaestro/Maestro,main,github_search_api:typescript_active:p3,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:33.295601+00:00
iamolegga,nestjs-pino,https://github.com/iamolegga/nestjs-pino,master,github_search_api:typescript_active:p3,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:33.295767+00:00
apify,apify-mcp-server,https://github.com/apify/apify-mcp-server,master,github_search_api:typescript_active:p1,stratum: active TypeScript OSS (stars>800),2026-06-23T05:29:53.613103+00:00
pubkey,rxdb,https://github.com/pubkey/rxdb,master,github_search_api:typescript_active:p2,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:28.467881+00:00
stegripe,rawon,https://github.com/stegripe/rawon,main,github_search_api:typescript_active:p2,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:28.467930+00:00
vitejs,vite,https://github.com/vitejs/vite,main,github_search_api:typescript_active:p3,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:33.295815+00:00
honojs,hono,https://github.com/honojs/hono,main,github_search_api:typescript_active:p3,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:33.295693+00:00
microsoft,fast,https://github.com/microsoft/fast,main,github_search_api:typescript_active:p3,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:33.295800+00:00
hAcKlyc,MyAgents,https://github.com/hAcKlyc/MyAgents,main,github_search_api:typescript_active:p3,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:33.295764+00:00
backnotprop,plannotator,https://github.com/backnotprop/plannotator,main,github_search_api:typescript_active:p2,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:28.468008+00:00
Gitlawb,openclaude,https://github.com/Gitlawb/openclaude,main,github_search_api:typescript_active:p2,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:28.467869+00:00
sunflower-land,sunflower-land,https://github.com/sunflower-land/sunflower-land,main,github_search_api:typescript_active:p1,stratum: active TypeScript OSS (stars>800),2026-06-23T05:29:53.613099+00:00
novuhq,novu,https://github.com/novuhq/novu,next,github_search_api:typescript_active:p1,stratum: active TypeScript OSS (stars>800),2026-06-23T05:29:53.613252+00:00
x-extends,vxe-table,https://github.com/x-extends/vxe-table,main,github_search_api:typescript_active:p2,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:28.468024+00:00
openchamber,openchamber,https://github.com/openchamber/openchamber,main,github_search_api:typescript_active:p2,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:28.468098+00:00
bluesky-social,social-app,https://github.com/bluesky-social/social-app,main,github_search_api:typescript_active:p3,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:33.295609+00:00
DimensionDev,Maskbook,https://github.com/DimensionDev/Maskbook,develop,github_search_api:typescript_active:p3,stratum: active TypeScript OSS (stars>800),2026-06-23T05:30:33.295826+00:00
