repo_id,repo_type,typology_reason,n_ever_introduced_paths,n_present_paths,n_mature_present_paths,n_source_files_head,n_markdown_or_prompt_files_head,prompts_path_count,confidence
All-Hands-AI/OpenHands,codebase,substantial_source_code_footprint_at_head,6,1,1,2053,121,5,medium
BerriAI/litellm,codebase,substantial_source_code_footprint_at_head,16,8,5,5750,484,40,medium
ChromeDevTools/chrome-devtools-mcp,codebase,source_files_exceed_skill_md_paths,7,7,0,177,37,0,medium
ComposioHQ/awesome-claude-skills,collection_or_list,known_curated_list_repository,1777,864,27,65,935,0,high
Egonex-AI/Understand-Anything,codebase,substantial_source_code_footprint_at_head,14,9,0,223,115,0,medium
Fission-AI/OpenSpec,codebase,substantial_source_code_footprint_at_head,3,2,1,278,548,2,medium
HKUDS/CLI-Anything,codebase,substantial_source_code_footprint_at_head,145,127,0,1277,442,0,medium
HKUDS/nanobot,codebase,substantial_source_code_footprint_at_head,16,15,0,534,73,0,medium
Hmbown/CodeWhale,codebase,substantial_source_code_footprint_at_head,40,27,0,470,119,28,medium
JetBrains/kotlin,unclear,insufficient_confidence_for_codebase_or_collection_label,19,19,0,0,0,0,low
JuliusBrussee/caveman,unclear,insufficient_confidence_for_codebase_or_collection_label,25,14,0,41,64,1,low
Kong/insomnia,codebase,substantial_source_code_footprint_at_head,2,2,0,1431,145,0,medium
Leonxlnx/taste-skill,unclear,insufficient_confidence_for_codebase_or_collection_label,26,13,0,1,31,0,low
MemPalace/mempalace,codebase,substantial_source_code_footprint_at_head,3,3,0,225,100,0,medium
NousResearch/hermes-agent,codebase,substantial_source_code_footprint_at_head,306,173,0,3150,1482,4,medium
SeleniumHQ/selenium,codebase,substantial_source_code_footprint_at_head,8,8,0,3683,106,0,medium
Significant-Gravitas/AutoGPT,codebase,substantial_source_code_footprint_at_head,22,20,3,3328,425,2,medium
TabbyML/tabby,codebase,substantial_source_code_footprint_at_head,23,10,10,1378,226,23,medium
TransformerOptimus/SuperAGI,codebase,substantial_source_code_footprint_at_head,27,20,20,525,70,27,medium
Yeachan-Heo/oh-my-claudecode,codebase,substantial_source_code_footprint_at_head,97,56,0,3259,243,24,medium
abhigyanpatwari/GitNexus,codebase,substantial_source_code_footprint_at_head,21,14,0,3306,135,7,medium
addyosmani/agent-skills,unclear,insufficient_confidence_for_codebase_or_collection_label,25,25,0,8,60,0,low
affaan-m/ECC,collection_or_list,high_skill_md_dominance_with_modest_source_footprint,807,798,0,471,2485,33,medium
aio-libs/aiohttp,codebase,source_files_exceed_skill_md_paths,2,2,0,167,46,0,medium
algolia/algoliasearch-client-javascript,codebase,substantial_source_code_footprint_at_head,1,1,0,1316,22,0,medium
angular/angular,unclear,insufficient_confidence_for_codebase_or_collection_label,3,3,0,0,0,0,low
ansible/ansible,codebase,substantial_source_code_footprint_at_head,2,2,2,2096,2303,0,medium
anthropics/claude-code,codebase,low_path_multiplicity_with_source_code,10,10,10,45,119,0,medium
anthropics/skills,unclear,insufficient_confidence_for_codebase_or_collection_label,50,18,17,75,139,0,low
apache/airflow,codebase,substantial_source_code_footprint_at_head,18,18,1,8556,889,0,medium
apache/beam,codebase,substantial_source_code_footprint_at_head,157,145,145,10013,2690,157,medium
apache/cassandra,codebase,substantial_source_code_footprint_at_head,2,2,0,6358,302,0,medium
apache/dubbo,codebase,substantial_source_code_footprint_at_head,1,1,0,4045,57,0,medium
apache/flink,codebase,substantial_source_code_footprint_at_head,3,3,0,16555,898,0,medium
apache/httpd,codebase,substantial_source_code_footprint_at_head,1,1,0,1012,170,0,medium
apache/pulsar,codebase,substantial_source_code_footprint_at_head,2,2,0,4519,429,0,medium
apache/spark,codebase,substantial_source_code_footprint_at_head,2,2,0,9481,1668,0,medium
appwrite/appwrite,codebase,substantial_source_code_footprint_at_head,3,3,0,1702,577,0,medium
argoproj/argo-cd,codebase,substantial_source_code_footprint_at_head,2,2,0,1296,2815,0,medium
astral-sh/ruff,codebase,substantial_source_code_footprint_at_head,2,2,0,4870,507,0,medium
astral-sh/uv,codebase,substantial_source_code_footprint_at_head,2,2,0,729,245,0,medium
avelino/awesome-go,unclear,insufficient_confidence_for_codebase_or_collection_label,1,1,1,10,19,0,low
axios/axios,codebase,substantial_source_code_footprint_at_head,2,2,0,201,170,0,medium
biomejs/biome,codebase,substantial_source_code_footprint_at_head,2,2,2,9362,1748,0,medium
block/goose,codebase,substantial_source_code_footprint_at_head,34,17,8,1086,503,56,medium
bmad-code-org/BMAD-METHOD,unclear,insufficient_confidence_for_codebase_or_collection_label,327,51,0,65,407,38,low
bottlepy/bottle,codebase,low_path_multiplicity_with_source_code,1,1,0,31,6,0,medium
browser-use/browser-use,codebase,substantial_source_code_footprint_at_head,8,7,2,392,76,0,medium
bytedance/deer-flow,codebase,substantial_source_code_footprint_at_head,62,26,0,929,152,33,medium
caddyserver/caddy,codebase,substantial_source_code_footprint_at_head,1,1,0,318,56,0,medium
cheat/cheat,codebase,substantial_source_code_footprint_at_head,1,1,0,1138,72,0,medium
chroma-core/chroma,codebase,substantial_source_code_footprint_at_head,4,4,0,1359,207,0,medium
circleci/circleci-docs,codebase,source_files_exceed_skill_md_paths,5,5,0,101,119,0,medium
cli/cli,codebase,substantial_source_code_footprint_at_head,3,3,0,898,63,0,medium
cline/cline,codebase,substantial_source_code_footprint_at_head,57,3,1,2591,183,174,medium
cockroachdb/cockroach,codebase,substantial_source_code_footprint_at_head,12,12,2,10947,890,4,medium
code-yeongyu/oh-my-openagent,codebase,substantial_source_code_footprint_at_head,200,131,4,3095,553,18,medium
colbymchenry/codegraph,codebase,substantial_source_code_footprint_at_head,1,1,0,222,41,0,medium
containers/podman,codebase,substantial_source_code_footprint_at_head,1,1,1,7258,1065,0,medium
continuedev/continue,codebase,substantial_source_code_footprint_at_head,4,2,1,2014,205,4,medium
crewAIInc/crewAI,codebase,substantial_source_code_footprint_at_head,5,4,0,1229,727,0,medium
cri-o/cri-o,codebase,substantial_source_code_footprint_at_head,2,2,2,8397,574,0,medium
crossbario/autobahn-python,codebase,substantial_source_code_footprint_at_head,2,1,1,484,115,0,medium
cypress-io/cypress,codebase,substantial_source_code_footprint_at_head,117,117,1,4725,343,0,medium
dagster-io/dagster,codebase,substantial_source_code_footprint_at_head,19,9,8,8177,2118,7,medium
danny-avila/LibreChat,codebase,substantial_source_code_footprint_at_head,31,3,0,2975,89,28,medium
dart-lang/sdk,codebase,substantial_source_code_footprint_at_head,2,2,0,830,1317,0,medium
date-fns/date-fns,codebase,substantial_source_code_footprint_at_head,1,1,0,1644,140,0,medium
daytonaio/daytona,codebase,substantial_source_code_footprint_at_head,2,2,0,4522,233,0,medium
detekt/detekt,codebase,substantial_source_code_footprint_at_head,2,2,0,1130,451,0,medium
directus/directus,codebase,substantial_source_code_footprint_at_head,14,1,0,3639,360,13,medium
discourse/discourse,codebase,substantial_source_code_footprint_at_head,4,4,2,13278,4671,2,medium
docker/compose,codebase,substantial_source_code_footprint_at_head,1,1,0,308,311,0,medium
dotnet/runtime,codebase,substantial_source_code_footprint_at_head,1,1,0,38089,1960,1,medium
e2b-dev/E2B,codebase,substantial_source_code_footprint_at_head,3,3,0,634,36,0,medium
earendil-works/pi,codebase,substantial_source_code_footprint_at_head,23,21,1,674,92,8,medium
elastic/elasticsearch,codebase,substantial_source_code_footprint_at_head,5,5,0,30157,6363,0,medium
electron/electron,codebase,substantial_source_code_footprint_at_head,2,2,0,1162,392,0,medium
excalidraw/excalidraw,codebase,substantial_source_code_footprint_at_head,1,1,1,627,31,0,medium
external-secrets/external-secrets,codebase,substantial_source_code_footprint_at_head,2,2,0,745,612,0,medium
f/prompts.chat,collection_or_list,known_curated_list_repository,4,4,0,550,42,97,high
facebook/jest,codebase,substantial_source_code_footprint_at_head,14,14,0,1947,263,0,medium
facebook/react,codebase,substantial_source_code_footprint_at_head,9,9,0,4607,2031,0,medium
facebook/react-native,codebase,substantial_source_code_footprint_at_head,1,1,0,5475,464,0,medium
facebook/rocksdb,codebase,substantial_source_code_footprint_at_head,2,2,0,1034,129,0,medium
fastapi/fastapi,codebase,substantial_source_code_footprint_at_head,4,4,0,1130,1593,0,medium
firecrawl/firecrawl,codebase,substantial_source_code_footprint_at_head,1,1,1,993,174,0,medium
fluxcd/flux2,codebase,substantial_source_code_footprint_at_head,1,1,0,346,248,0,medium
garrytan/gstack,codebase,substantial_source_code_footprint_at_head,64,60,0,717,178,0,medium
ggerganov/llama.cpp,unclear,insufficient_confidence_for_codebase_or_collection_label,18,3,1,0,0,14,low
ggml-org/llama.cpp,unclear,insufficient_confidence_for_codebase_or_collection_label,18,3,1,0,0,14,low
git/git,codebase,substantial_source_code_footprint_at_head,1,1,0,2283,47,0,medium
github/spec-kit,codebase,source_files_exceed_skill_md_paths,1,1,1,181,142,0,medium
google/benchmark,codebase,low_path_multiplicity_with_source_code,1,1,0,51,37,0,medium
grafana/grafana,codebase,substantial_source_code_footprint_at_head,9,8,2,15884,1560,0,medium
grafana/loki,unclear,insufficient_confidence_for_codebase_or_collection_label,2,1,1,0,0,0,low
grafana/tempo,unclear,insufficient_confidence_for_codebase_or_collection_label,3,3,0,0,0,0,low
haproxy/haproxy,codebase,substantial_source_code_footprint_at_head,18,16,16,733,119,18,medium
harvester/harvester,codebase,substantial_source_code_footprint_at_head,1,1,0,13035,730,0,medium
hasura/graphql-engine,codebase,substantial_source_code_footprint_at_head,2,2,0,4884,2526,0,medium
helm/helm,codebase,substantial_source_code_footprint_at_head,1,1,1,556,1066,0,medium
home-assistant/core,codebase,substantial_source_code_footprint_at_head,2,2,2,17579,919,0,medium
homebrew/brew,codebase,substantial_source_code_footprint_at_head,4,3,1,2107,230,0,medium
huggingface/transformers,codebase,substantial_source_code_footprint_at_head,2,2,1,4493,1507,0,medium
infiniflow/ragflow,codebase,substantial_source_code_footprint_at_head,69,69,32,2582,221,50,medium
invoke-ai/InvokeAI,codebase,substantial_source_code_footprint_at_head,1,1,1,2448,108,0,medium
jaegertracing/jaeger,unclear,insufficient_confidence_for_codebase_or_collection_label,2,2,1,0,0,0,low
jesseduffield/lazydocker,codebase,substantial_source_code_footprint_at_head,1,1,0,1197,163,0,medium
jesseduffield/lazygit,codebase,substantial_source_code_footprint_at_head,2,2,0,1824,184,0,medium
jestjs/jest,codebase,substantial_source_code_footprint_at_head,14,14,0,1947,263,0,medium
kubernetes/kops,codebase,substantial_source_code_footprint_at_head,2,2,2,12112,1236,0,medium
kubernetes/kubernetes,codebase,substantial_source_code_footprint_at_head,1,1,0,17592,6999,0,medium
kyverno/kyverno,codebase,substantial_source_code_footprint_at_head,1,1,0,1780,7224,0,medium
labstack/echo,unclear,insufficient_confidence_for_codebase_or_collection_label,1,1,1,0,0,0,low
langchain-ai/langchain,codebase,substantial_source_code_footprint_at_head,10,6,6,2542,94,64,medium
langflow-ai/langflow,codebase,substantial_source_code_footprint_at_head,2,2,0,5705,207,9,medium
langgenius/dify,codebase,substantial_source_code_footprint_at_head,10,10,6,10158,245,3,medium
lobsters/lobsters,codebase,substantial_source_code_footprint_at_head,2,2,2,460,28,0,medium
luongnv89/claude-howto,codebase,source_files_exceed_skill_md_paths,47,37,6,84,493,4,medium
mattermost/mattermost,codebase,substantial_source_code_footprint_at_head,4,3,0,7841,277,0,medium
mattpocock/skills,collection_or_list,known_curated_list_repository,83,30,0,4,66,0,high
meilisearch/meilisearch,codebase,substantial_source_code_footprint_at_head,1,1,0,695,43,0,medium
mem0ai/mem0,codebase,substantial_source_code_footprint_at_head,67,49,0,975,179,1,medium
micronaut-projects/micronaut-core,codebase,substantial_source_code_footprint_at_head,2,2,0,5513,90,0,medium
microsoft/TypeScript,codebase,substantial_source_code_footprint_at_head,2,2,0,39308,10122,0,medium
microsoft/autogen,codebase,substantial_source_code_footprint_at_head,4,3,3,1183,263,4,medium
microsoft/playwright,codebase,substantial_source_code_footprint_at_head,31,11,8,1681,345,25,medium
microsoft/vscode,codebase,substantial_source_code_footprint_at_head,75,49,2,11570,555,466,medium
mlflow/mlflow,codebase,substantial_source_code_footprint_at_head,8,7,3,5999,334,86,medium
moby/moby,codebase,substantial_source_code_footprint_at_head,2,2,0,10205,736,0,medium
mochajs/mocha,codebase,substantial_source_code_footprint_at_head,1,1,0,370,37,0,medium
modelcontextprotocol/servers,codebase,low_path_multiplicity_with_source_code,4,2,1,78,27,5,medium
mongodb/mongo,codebase,substantial_source_code_footprint_at_head,7,5,0,31469,2831,0,medium
mongodb/mongo-python-driver,codebase,substantial_source_code_footprint_at_head,2,2,0,459,35,0,medium
multica-ai/andrej-karpathy-skills,unclear,insufficient_confidence_for_codebase_or_collection_label,2,2,0,0,7,0,low
multica-ai/multica,codebase,substantial_source_code_footprint_at_head,25,11,0,2254,68,0,medium
mvanhorn/last30days-skill,codebase,source_files_exceed_skill_md_paths,7,3,0,175,26,0,medium
n8n-io/n8n,codebase,substantial_source_code_footprint_at_head,32,32,10,14929,543,99,medium
neovim/neovim,codebase,substantial_source_code_footprint_at_head,1,1,0,529,225,0,medium
nexu-io/open-design,codebase,substantial_source_code_footprint_at_head,618,485,0,2151,1772,22,medium
nvm-sh/nvm,unclear,insufficient_confidence_for_codebase_or_collection_label,2,2,2,6,49,0,low
obra/superpowers,unclear,insufficient_confidence_for_codebase_or_collection_label,73,31,14,38,87,16,low
ollama/ollama,codebase,substantial_source_code_footprint_at_head,2,2,0,868,43,0,medium
open-policy-agent/gatekeeper,codebase,substantial_source_code_footprint_at_head,1,1,1,523,1065,0,medium
open-policy-agent/opa,codebase,substantial_source_code_footprint_at_head,1,1,1,1267,2912,0,medium
open-telemetry/opentelemetry-go,codebase,substantial_source_code_footprint_at_head,2,2,0,1187,215,0,medium
openclaw/openclaw,codebase,substantial_source_code_footprint_at_head,153,112,19,17316,1244,4,medium
openinterpreter/openinterpreter,codebase,substantial_source_code_footprint_at_head,42,19,1,2482,687,26,medium
outline/outline,codebase,substantial_source_code_footprint_at_head,2,2,1,2274,39,0,medium
pandas-dev/pandas,codebase,substantial_source_code_footprint_at_head,1,1,1,1534,84,0,medium
paperclipai/paperclip,codebase,substantial_source_code_footprint_at_head,44,36,0,2188,331,7,medium
payloadcms/payload,codebase,substantial_source_code_footprint_at_head,118,5,4,6482,208,0,medium
pbakaus/impeccable,codebase,substantial_source_code_footprint_at_head,30,3,2,280,482,0,medium
pewdiepie-archdaemon/odysseus,codebase,substantial_source_code_footprint_at_head,2,2,0,948,36,0,medium
pingcap/tidb,codebase,substantial_source_code_footprint_at_head,3,3,2,5010,271,0,medium
prefecthq/prefect,codebase,substantial_source_code_footprint_at_head,41,41,14,3557,215,0,medium
prisma/prisma,codebase,substantial_source_code_footprint_at_head,2,2,2,3042,293,0,medium
prometheus/prometheus,codebase,substantial_source_code_footprint_at_head,2,2,0,975,439,0,medium
pydantic/pydantic-ai,codebase,substantial_source_code_footprint_at_head,34,31,8,621,1423,10,medium
quarkusio/quarkus,codebase,substantial_source_code_footprint_at_head,2,2,0,24247,757,0,medium
rabbitmq/rabbitmq-server,codebase,substantial_source_code_footprint_at_head,3,3,0,300,528,0,medium
rails/rails,codebase,substantial_source_code_footprint_at_head,1,1,1,3480,346,0,medium
ray-project/ray,codebase,substantial_source_code_footprint_at_head,9,8,1,5814,1186,0,medium
redis/redis-py,codebase,substantial_source_code_footprint_at_head,1,1,0,304,43,0,medium
remix-run/react-router,codebase,substantial_source_code_footprint_at_head,2,2,1,701,299,0,medium
rollup/rollup,unclear,insufficient_confidence_for_codebase_or_collection_label,1,1,0,0,0,0,low
router-for-me/CLIProxyAPI,codebase,substantial_source_code_footprint_at_head,2,2,0,683,48,0,medium
rtk-ai/rtk,codebase,source_files_exceed_skill_md_paths,1,1,0,146,143,0,medium
run-llama/llama_parse,codebase,source_files_exceed_skill_md_paths,1,1,0,122,39,0,medium
rust-lang/rust,codebase,substantial_source_code_footprint_at_head,2,2,0,37710,1710,0,medium
ruvnet/RuView,codebase,substantial_source_code_footprint_at_head,21,20,0,1464,795,8,medium
ruvnet/ruflo,codebase,substantial_source_code_footprint_at_head,304,156,26,2126,1789,0,medium
safishamsi/graphify,codebase,source_files_exceed_skill_md_paths,1,1,0,174,344,0,medium
saltstack/salt,codebase,substantial_source_code_footprint_at_head,1,1,0,2921,215,0,medium
santifer/career-ops,unclear,insufficient_confidence_for_codebase_or_collection_label,2,2,0,18,134,0,low
scala/scala,codebase,substantial_source_code_footprint_at_head,1,1,0,10034,43,0,medium
scalacenter/scalafix,codebase,substantial_source_code_footprint_at_head,1,1,1,749,39,0,medium
scikit-learn/scikit-learn,codebase,substantial_source_code_footprint_at_head,1,1,1,1062,110,0,medium
shanraisshan/claude-code-best-practice,unclear,insufficient_confidence_for_codebase_or_collection_label,4,3,0,2,123,0,low
shareAI-lab/learn-claude-code,codebase,source_files_exceed_skill_md_paths,4,4,0,105,108,0,medium
sickn33/antigravity-awesome-skills,collection_or_list,known_curated_list_repository,6242,4881,0,2243,9734,0,high
spree/spree,codebase,substantial_source_code_footprint_at_head,15,2,1,3132,112,0,medium
sqlite/sqlite,codebase,substantial_source_code_footprint_at_head,1,1,0,481,45,0,medium
storybookjs/storybook,unclear,insufficient_confidence_for_codebase_or_collection_label,11,3,1,0,0,9,low
strapi/strapi,codebase,substantial_source_code_footprint_at_head,2,2,0,4499,209,7,medium
supabase/supabase,codebase,substantial_source_code_footprint_at_head,8,8,8,7171,393,8,medium
sveltejs/svelte,codebase,substantial_source_code_footprint_at_head,1,1,0,3448,146,0,medium
swc-project/swc,unclear,insufficient_confidence_for_codebase_or_collection_label,43,39,4,0,0,0,low
systemd/systemd,codebase,substantial_source_code_footprint_at_head,2,2,0,3620,178,0,medium
thedaviddias/Front-End-Checklist,collection_or_list,known_curated_list_repository,392,392,0,540,818,0,high
thedotmack/claude-mem,codebase,substantial_source_code_footprint_at_head,124,20,2,602,157,10,medium
tiangolo/fastapi,codebase,substantial_source_code_footprint_at_head,4,4,0,1130,1593,0,medium
tikv/tikv,codebase,substantial_source_code_footprint_at_head,2,2,0,1323,30,0,medium
tldr-pages/tldr,unclear,insufficient_confidence_for_codebase_or_collection_label,1,1,0,16,36726,0,low
traefik/traefik,codebase,substantial_source_code_footprint_at_head,2,2,0,948,750,0,medium
tw93/Mole,codebase,source_files_exceed_skill_md_paths,2,2,0,109,29,0,medium
ultraworkers/claw-code,codebase,source_files_exceed_skill_md_paths,2,2,0,194,56,0,medium
unclecode/crawl4ai,codebase,substantial_source_code_footprint_at_head,1,1,1,501,202,1,medium
upstash/context7,codebase,source_files_exceed_skill_md_paths,12,8,0,98,66,3,medium
veggiemonk/awesome-docker,unclear,insufficient_confidence_for_codebase_or_collection_label,2,2,1,27,16,0,low
vercel/next.js,unclear,insufficient_confidence_for_codebase_or_collection_label,7,5,0,0,0,0,low
vinta/awesome-python,unclear,insufficient_confidence_for_codebase_or_collection_label,2,2,0,7,12,0,low
vitessio/vitess,codebase,substantial_source_code_footprint_at_head,3,3,2,3861,496,0,medium
wandb/wandb,codebase,substantial_source_code_footprint_at_head,5,5,1,6343,381,0,medium
warpdotdev/warp,codebase,substantial_source_code_footprint_at_head,22,21,0,3823,635,3,medium
weaviate/weaviate,codebase,substantial_source_code_footprint_at_head,1,1,0,4495,73,0,medium
webpack/webpack,codebase,substantial_source_code_footprint_at_head,2,2,0,9723,324,0,medium
wshobson/agents,unclear,insufficient_confidence_for_codebase_or_collection_label,161,158,61,61,709,0,low
zhayujie/CowAgent,codebase,substantial_source_code_footprint_at_head,7,3,0,291,35,0,medium
