priority_rank,priority_score,priority_explanation,evidence_strength,candidate_id,repo_id,instruction_file,extracted_reference,resolved_path,extraction_rule,confidence,current_status,historical_existence,auto_drift_category,history_quality,first_seen_commit,first_seen_date,deleted_commit,deleted_date,path_lifetime_days,heuristic_likely_drift,heuristic_likely_artifact,is_real_drift,drift_type,notes
1,100,category=config_reference (+50); history=reliable (+30); deleted_commit (+10); instruction_ref (+10) → score=100,strong,DC006,dagster-io/dagster,CLAUDE.md,setup.py,setup.py,known_config_filename,,stale,existed_before,config_reference,reliable,61d6fe3d93e76b659ecfaea38244d0ad2da87c82,2018-05-22,bd4a1bec41530293f8c8ad53d077cf63b3318463,2018-07-19,58,yes,no,,,
2,100,category=source_code_reference (+60); history=reliable (+30); deleted_commit (+10); instruction_ref (+0) → score=100,moderate,DC011,apache/airflow,CLAUDE.md,airflow/cli/cli_parser.py,airflow/cli/cli_parser.py,code_span,,stale,existed_before,source_code_reference,reliable,8465d66f05baeb73dd4479b019515c069444616e,2020-03-22,243fe86d4b3e59bb12977b3e36ca3f2ed27ca0f8,2025-03-21,1824,yes,no,,,
3,100,category=source_code_reference (+60); history=reliable (+30); deleted_commit (+10); instruction_ref (+0) → score=100,moderate,DC012,apache/airflow,CLAUDE.md,tests/cli/test_cli_parser.py,tests/cli/test_cli_parser.py,code_span,,stale,existed_before,source_code_reference,reliable,8465d66f05baeb73dd4479b019515c069444616e,2020-03-22,243fe86d4b3e59bb12977b3e36ca3f2ed27ca0f8,2025-03-21,1824,yes,no,,,
4,100,category=source_code_reference (+60); history=reliable (+30); deleted_commit (+10); instruction_ref (+0) → score=100,moderate,DC013,apache/airflow,CLAUDE.md,airflow/cli/cli_parser.py,airflow/cli/cli_parser.py,explicit_path,,stale,existed_before,source_code_reference,reliable,8465d66f05baeb73dd4479b019515c069444616e,2020-03-22,243fe86d4b3e59bb12977b3e36ca3f2ed27ca0f8,2025-03-21,1824,yes,no,,,
5,100,category=source_code_reference (+60); history=reliable (+30); deleted_commit (+10); instruction_ref (+0) → score=100,moderate,DC014,apache/airflow,CLAUDE.md,tests/cli/test_cli_parser.py,tests/cli/test_cli_parser.py,explicit_path,,stale,existed_before,source_code_reference,reliable,8465d66f05baeb73dd4479b019515c069444616e,2020-03-22,243fe86d4b3e59bb12977b3e36ca3f2ed27ca0f8,2025-03-21,1824,yes,no,,,
6,90,category=deleted_directory (+40); history=reliable (+30); deleted_commit (+10); instruction_ref (+10) → score=90,strong,DC005,dagster-io/dagster,CLAUDE.md,examples/docs_snippets/docs_snippets/intro_tutorial/basics/connecting_ops/,examples/docs_snippets/docs_snippets/intro_tutorial/basics/connecting_ops/,explicit_path,,stale,existed_before,deleted_directory,reliable,84221d05f29b928962d25d45216f6bc28d52a910,2022-08-25,cb2b0148b00aebb93dea6a254eb05f2c6fcd40bb,2026-04-23,1336,yes,no,,,
7,82,category=deleted_directory (+40); history=reliable (+30); deleted_commit (+10); instruction_ref (+10); penalties: generic path token (−8) → score=82,moderate,DC029,payloadcms/payload,CLAUDE.md,src/,src/,scope_section:code_span,,stale,existed_before,deleted_directory,reliable,a6524720f55577536dd363679d887a24c45d844c,2025-03-10,54a76e1401630266cfe6efeab5ffd1bdc12a7ff0,2023-09-18,0,yes,no,,,
8,82,category=deleted_directory (+40); history=reliable (+30); deleted_commit (+10); instruction_ref (+10); penalties: generic path token (−8) → score=82,moderate,DC030,payloadcms/payload,CLAUDE.md,src,src/,common_directory_name,,stale,existed_before,deleted_directory,reliable,a6524720f55577536dd363679d887a24c45d844c,2025-03-10,54a76e1401630266cfe6efeab5ffd1bdc12a7ff0,2023-09-18,0,yes,maybe,,,
9,82,category=deleted_directory (+40); history=reliable (+30); deleted_commit (+10); instruction_ref (+10); penalties: generic path token (−8) → score=82,moderate,DC031,payloadcms/payload,CLAUDE.md,dev,dev/,common_directory_name,,stale,existed_before,deleted_directory,reliable,2f799a9420551b7999bc9f12f822fdb37042503b,2023-04-10,ac8bcfac237ea46f77bb1ee9abf3b1139d52ed41,2023-10-05,177,yes,maybe,,,
10,82,category=deleted_directory (+40); history=reliable (+30); deleted_commit (+10); instruction_ref (+10); penalties: generic path token (−8) → score=82,moderate,DC035,payloadcms/payload,CLAUDE.md,Dev,dev/,common_directory_name,,stale,existed_before,deleted_directory,reliable,2f799a9420551b7999bc9f12f822fdb37042503b,2023-04-10,ac8bcfac237ea46f77bb1ee9abf3b1139d52ed41,2023-10-05,177,yes,no,,,
11,80,category=deleted_directory (+40); history=reliable (+30); deleted_commit (+10); instruction_ref (+0) → score=80,moderate,DC015,apache/airflow,CLAUDE.md,newsfragments/,newsfragments/,code_span,,stale,existed_before,deleted_directory,reliable,996c74080210dfb8892513cbde9977a94f417f4d,2026-02-28,8bf498965c87d562486a8e9344ccdb84aa351b2d,2026-03-09,8,yes,no,,,
12,72,category=deleted_directory (+40); history=reliable (+30); deleted_commit (+10); instruction_ref (+0); penalties: generic path token (−8) → score=72,moderate,DC009,apache/airflow,CLAUDE.md,src,src/,common_directory_name,,stale,existed_before,deleted_directory,reliable,e491dab9a5c9df09165e0e28fb1babae9990d873,2014-10-11,6cffc62e77dd6cbd74a0217e573389e6725ca337,2014-10-12,0,yes,maybe,,,
13,72,category=deleted_directory (+40); history=reliable (+30); deleted_commit (+10); instruction_ref (+0); penalties: generic path token (−8) → score=72,moderate,DC010,apache/airflow,CLAUDE.md,tests/,tests/,scope_section:code_span,,stale,existed_before,deleted_directory,reliable,47a1ca7bd94538bf4c053701d1d8f9f7a1c30327,2026-03-06,553228f837f9905d4e11cf0f3ede0d92ceb5e1ac,2026-02-12,0,yes,no,,,
14,65,category=source_code_reference (+60); history=failed (+0); deleted_commit (+0); instruction_ref (+10); penalties: failed history lookup (−5) → score=65,weak,DC036,prefecthq/prefect,AGENTS.md,tests/path.py,tests/path.py,explicit_path,,stale,existed_before,source_code_reference,failed,,,,,,no,no,,,
15,60,category=unknown (+10); history=reliable (+30); deleted_commit (+10); instruction_ref (+10) → score=60,moderate,DC002,cheat/cheat,CLAUDE.md,.cheat,cheat,code_span,,stale,existed_before,unknown,reliable,d10290541d6868f5abc402100b821d97968e64f8,2019-08-03,e5114a3e7665e05d6e50306d00429f1607e7cda9,2019-10-20,78,yes,no,,,
16,60,category=unknown (+10); history=reliable (+30); deleted_commit (+10); instruction_ref (+10) → score=60,moderate,DC032,payloadcms/payload,CLAUDE.md,.scss,scss,code_span,,stale,existed_before,unknown,reliable,929b21d68b9d4504adf2d46ccca74d8da5595179,2021-07-01,a67278b29ff6c60750c8de331e3cac5a9e4bbae0,2023-08-23,782,yes,no,,,
17,55,category=source_code_reference (+60); history=failed (+0); deleted_commit (+0); instruction_ref (+0); penalties: failed history lookup (−5) → score=55,weak,DC007,apache/airflow,CLAUDE.md,dev/my_script.py,dev/my_script.py,explicit_path,,stale,existed_before,source_code_reference,failed,,,,,,no,no,,,
18,55,category=config_reference (+50); history=failed (+0); deleted_commit (+0); instruction_ref (+10); penalties: failed history lookup (−5) → score=55,weak,DC018,BerriAI/litellm,CLAUDE.md,litellm/proxy/dev_config.yaml,litellm/proxy/dev_config.yaml,explicit_path,,stale,existed_before,config_reference,failed,,,,,,no,no,,,
19,45,category=config_reference (+50); history=failed (+0); deleted_commit (+0); instruction_ref (+0); penalties: failed history lookup (−5) → score=45,weak,DC037,grafana/grafana,CLAUDE.md,conf/custom.ini,conf/custom.ini,code_span,,stale,existed_before,config_reference,failed,,,,,,no,no,,,
20,45,category=config_reference (+50); history=failed (+0); deleted_commit (+0); instruction_ref (+0); penalties: failed history lookup (−5) → score=45,weak,DC038,grafana/grafana,CLAUDE.md,conf/custom.ini,conf/custom.ini,explicit_path,,stale,existed_before,config_reference,failed,,,,,,no,no,,,
21,25,category=documentation_reference (+30); history=failed (+0); deleted_commit (+0); instruction_ref (+0); penalties: failed history lookup (−5) → score=25,weak,DC004,electron/electron,docs/CLAUDE.md,docs/api/file.md,docs/api/file.md,explicit_path,,doc_reference,existed_before,documentation_reference,failed,,,,,,no,no,,,
22,25,category=documentation_reference (+30); history=failed (+0); deleted_commit (+0); instruction_ref (+0); penalties: failed history lookup (−5) → score=25,weak,DC016,apache/airflow,CLAUDE.md,docs/05_pull_requests.rst,docs/05_pull_requests.rst,explicit_path,,doc_reference,existed_before,documentation_reference,failed,,,,,,no,no,,,
23,17,"category=unknown (+10); history=uncertain (+12); deleted_commit (+10); instruction_ref (+10); penalties: glob pattern, artifact heuristic (−25) → score=17",weak,DC003,electron/electron,CLAUDE.md,patches/chromium/*.patch,patches/chromium/*.patch,explicit_path,,stale,existed_before,unknown,uncertain,5d2ab4d1fc4686628e2c1fb9e41dca33bfd89718,2026-06-10,c6312c9b1781fd5d654e4e3ddcdbd5b5367596f6,2026-06-10,0,no,yes,,,
24,17,"category=unknown (+10); history=uncertain (+12); deleted_commit (+10); instruction_ref (+10); penalties: glob pattern, artifact heuristic (−25) → score=17",weak,DC019,payloadcms/payload,CLAUDE.md,packages/db-*,packages/db-*,code_span,,stale,existed_before,unknown,uncertain,1d6d105da6eace5725eb05212deb68c8e775efec,2026-06-09,03f81aea98bfb78bb1be43a3c3e6980b1d03fc9a,2026-05-18,0,no,yes,,,
25,17,"category=unknown (+10); history=uncertain (+12); deleted_commit (+10); instruction_ref (+10); penalties: glob pattern, artifact heuristic (−25) → score=17",weak,DC020,payloadcms/payload,CLAUDE.md,packages/db-*,packages/db-*,explicit_path,,stale,existed_before,unknown,uncertain,1d6d105da6eace5725eb05212deb68c8e775efec,2026-06-09,03f81aea98bfb78bb1be43a3c3e6980b1d03fc9a,2026-05-18,0,no,yes,,,
26,17,"category=unknown (+10); history=uncertain (+12); deleted_commit (+10); instruction_ref (+10); penalties: glob pattern, artifact heuristic (−25) → score=17",weak,DC021,payloadcms/payload,CLAUDE.md,packages/richtext-*,packages/richtext-*,code_span,,stale,existed_before,unknown,uncertain,d4944285af6d9453bbb9187c2541efff0f2f61ce,2026-06-05,d4944285af6d9453bbb9187c2541efff0f2f61ce,2026-06-05,0,no,yes,,,
27,17,"category=unknown (+10); history=uncertain (+12); deleted_commit (+10); instruction_ref (+10); penalties: glob pattern, artifact heuristic (−25) → score=17",weak,DC022,payloadcms/payload,CLAUDE.md,packages/richtext-*,packages/richtext-*,explicit_path,,stale,existed_before,unknown,uncertain,d4944285af6d9453bbb9187c2541efff0f2f61ce,2026-06-05,d4944285af6d9453bbb9187c2541efff0f2f61ce,2026-06-05,0,no,yes,,,
28,17,"category=unknown (+10); history=uncertain (+12); deleted_commit (+10); instruction_ref (+10); penalties: glob pattern, artifact heuristic (−25) → score=17",weak,DC023,payloadcms/payload,CLAUDE.md,packages/storage-*,packages/storage-*,code_span,,stale,existed_before,unknown,uncertain,6690769b9f736fb37a98661baa8b7a4a702b42c2,2026-04-10,6690769b9f736fb37a98661baa8b7a4a702b42c2,2026-04-10,0,no,yes,,,
29,17,"category=unknown (+10); history=uncertain (+12); deleted_commit (+10); instruction_ref (+10); penalties: glob pattern, artifact heuristic (−25) → score=17",weak,DC024,payloadcms/payload,CLAUDE.md,packages/storage-*,packages/storage-*,explicit_path,,stale,existed_before,unknown,uncertain,6690769b9f736fb37a98661baa8b7a4a702b42c2,2026-04-10,6690769b9f736fb37a98661baa8b7a4a702b42c2,2026-04-10,0,no,yes,,,
30,17,"category=unknown (+10); history=uncertain (+12); deleted_commit (+10); instruction_ref (+10); penalties: glob pattern, artifact heuristic (−25) → score=17",weak,DC025,payloadcms/payload,CLAUDE.md,packages/email-*,packages/email-*,code_span,,stale,existed_before,unknown,uncertain,f494ebabbffbff0b2b98bbd4b1620f712b6f2e96,2024-07-15,e50d811f25ee299529e99ff8d6f9f3b4da8e559d,2026-01-06,540,no,yes,,,
31,17,"category=unknown (+10); history=uncertain (+12); deleted_commit (+10); instruction_ref (+10); penalties: glob pattern, artifact heuristic (−25) → score=17",weak,DC026,payloadcms/payload,CLAUDE.md,packages/email-*,packages/email-*,explicit_path,,stale,existed_before,unknown,uncertain,f494ebabbffbff0b2b98bbd4b1620f712b6f2e96,2024-07-15,e50d811f25ee299529e99ff8d6f9f3b4da8e559d,2026-01-06,540,no,yes,,,
32,17,"category=unknown (+10); history=uncertain (+12); deleted_commit (+10); instruction_ref (+10); penalties: glob pattern, artifact heuristic (−25) → score=17",weak,DC027,payloadcms/payload,CLAUDE.md,packages/plugin-*,packages/plugin-*,code_span,,stale,existed_before,unknown,uncertain,0a840997e88ec545dc0ed4a4db25f3b0543bdc57,2026-06-11,19342ed0ac2642747de1e5ed3eb59af012cd81d8,2026-06-10,0,no,yes,,,
33,17,"category=unknown (+10); history=uncertain (+12); deleted_commit (+10); instruction_ref (+10); penalties: glob pattern, artifact heuristic (−25) → score=17",weak,DC028,payloadcms/payload,CLAUDE.md,packages/plugin-*,packages/plugin-*,explicit_path,,stale,existed_before,unknown,uncertain,0a840997e88ec545dc0ed4a4db25f3b0543bdc57,2026-06-11,19342ed0ac2642747de1e5ed3eb59af012cd81d8,2026-06-10,0,no,yes,,,
34,15,category=unknown (+10); history=failed (+0); deleted_commit (+0); instruction_ref (+10); penalties: failed history lookup (−5) → score=15,weak,DC001,cheat/cheat,CLAUDE.md,./internal/package_name,internal/package_name,explicit_path,,stale,existed_before,unknown,failed,,,,,,no,no,,,
35,15,"category=documentation_reference (+30); history=failed (+0); deleted_commit (+0); instruction_ref (+0); penalties: artifact heuristic, failed history lookup (−15) → score=15",weak,DC017,apache/airflow,CLAUDE.md,[Agent-assisted contribution section of `README.md`](README.md#agent-assisted-contribution-apache-steward),README.md#agent-assisted-contribution-apache-steward,markdown_link,,doc_reference,existed_before,documentation_reference,failed,,,,,,no,yes,,,
36,15,category=unknown (+10); history=failed (+0); deleted_commit (+0); instruction_ref (+10); penalties: failed history lookup (−5) → score=15,weak,DC033,payloadcms/payload,CLAUDE.md,payload/shared,payload/shared,explicit_path,,stale,existed_before,unknown,failed,,,,,,no,no,,,
37,15,category=unknown (+10); history=failed (+0); deleted_commit (+0); instruction_ref (+10); penalties: failed history lookup (−5) → score=15,weak,DC034,payloadcms/payload,CLAUDE.md,payload/no-imports-from-exports-dir,payload/no-imports-from-exports-dir,explicit_path,,stale,existed_before,unknown,failed,,,,,,no,no,,,
38,5,category=unknown (+10); history=failed (+0); deleted_commit (+0); instruction_ref (+0); penalties: failed history lookup (−5) → score=5,weak,DC008,apache/airflow,CLAUDE.md,shared/<dist>,shared/<dist,code_span,,stale,existed_before,unknown,failed,,,,,,no,no,,,
