repo_id,instruction_file,reference,reference_type,extraction_rule,confidence,resolved_path,exists_in_head,status,misguidance_category,historical_existence,counts_toward_primary_misguidance,parser_version
apache/airflow,CLAUDE.md,[`contributing-docs/08_static_code_checks.rst`](contributing-docs/08_static_code_checks.rst),markdown_link,markdown_link,medium,contributing-docs/08_static_code_checks.rst,True,valid,,,False,v2
apache/airflow,CLAUDE.md,contributing-docs/08_static_code_checks.rst,code_span,code_span,medium,contributing-docs/08_static_code_checks.rst,True,valid,,,False,v2
apache/airflow,CLAUDE.md,contributing-docs/08_static_code_checks.rst,explicit_path,explicit_path,high,contributing-docs/08_static_code_checks.rst,True,valid,,,False,v2
apache/airflow,CLAUDE.md,[`contributing-docs/12_provider_distributions.rst`](contributing-docs/12_provider_distributions.rst),markdown_link,markdown_link,medium,contributing-docs/12_provider_distributions.rst,True,valid,,,False,v2
apache/airflow,CLAUDE.md,contributing-docs/12_provider_distributions.rst,code_span,code_span,medium,contributing-docs/12_provider_distributions.rst,True,valid,,,False,v2
apache/airflow,CLAUDE.md,contributing-docs/12_provider_distributions.rst,explicit_path,explicit_path,high,contributing-docs/12_provider_distributions.rst,True,valid,,,False,v2
apache/airflow,CLAUDE.md,[`contributing-docs/19_execution_api_versioning.rst`](contributing-docs/19_execution_api_versioning.rst),markdown_link,markdown_link,medium,contributing-docs/19_execution_api_versioning.rst,True,valid,,,False,v2
apache/airflow,CLAUDE.md,contributing-docs/19_execution_api_versioning.rst,code_span,code_span,medium,contributing-docs/19_execution_api_versioning.rst,True,valid,,,False,v2
apache/airflow,CLAUDE.md,contributing-docs/19_execution_api_versioning.rst,explicit_path,explicit_path,high,contributing-docs/19_execution_api_versioning.rst,True,valid,,,False,v2
apache/airflow,airflow-core/src/airflow/_shared/AGENTS.md,[shared folder](../../../../shared),markdown_link,markdown_link,medium,shared/,True,valid,,,False,v2
apache/airflow,airflow-core/src/airflow/_shared/AGENTS.md,../../../../shared,explicit_path,explicit_path,high,shared/,True,valid,,,False,v2
BerriAI/litellm,CLAUDE.md,make new,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
BerriAI/litellm,CLAUDE.md,make the,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
BerriAI/litellm,CLAUDE.md,make it,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
BerriAI/litellm,CLAUDE.md,tests/test_litellm/,code_span,code_span,medium,tests/test_litellm/,True,valid,,,False,v2
BerriAI/litellm,CLAUDE.md,litellm/,code_span,code_span,medium,litellm/,True,valid,,,False,v2
BerriAI/litellm,CLAUDE.md,tests/test_litellm/readme.md,code_span,code_span,medium,tests/test_litellm/readme.md,True,valid,,,False,v2
BerriAI/litellm,CLAUDE.md,tests/test_litellm/,explicit_path,explicit_path,high,tests/test_litellm/,True,valid,,,False,v2
BerriAI/litellm,CLAUDE.md,tests/test_litellm/readme.md,explicit_path,explicit_path,high,tests/test_litellm/readme.md,True,valid,,,False,v2
BerriAI/litellm,CLAUDE.md,.github/pull_request_template.md,explicit_path,explicit_path,high,github/pull_request_template.md,True,valid,,,False,v2
BerriAI/litellm,CLAUDE.md,litellm/proxy/proxy_cli.py,explicit_path,explicit_path,high,litellm/proxy/proxy_cli.py,True,valid,,,False,v2
BerriAI/litellm,CLAUDE.md,make public-facing,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
BerriAI/litellm,CLAUDE.md,make sure,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,packages/,code_span,code_span,medium,packages/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,packages,directory_mention,common_directory_name,medium,packages/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,packages/payload,code_span,code_span,medium,packages/payload/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,packages/payload,explicit_path,explicit_path,high,packages/payload/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,packages/ui,code_span,code_span,medium,packages/ui/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,packages/ui,explicit_path,explicit_path,high,packages/ui/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,packages/next,code_span,code_span,medium,packages/next/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,packages/next,explicit_path,explicit_path,high,packages/next/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,packages/drizzle,code_span,code_span,medium,packages/drizzle/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,packages/drizzle,explicit_path,explicit_path,high,packages/drizzle/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,packages/kv-redis,code_span,code_span,medium,packages/kv-redis/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,packages/kv-redis,explicit_path,explicit_path,high,packages/kv-redis/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,packages/graphql,code_span,code_span,medium,packages/graphql/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,packages/graphql,explicit_path,explicit_path,high,packages/graphql/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,packages/translations,code_span,code_span,medium,packages/translations/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,packages/translations,explicit_path,explicit_path,high,packages/translations/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,test/,code_span,code_span,medium,test/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,docs/,code_span,code_span,medium,docs/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,docs,directory_mention,common_directory_name,medium,docs/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,tools/,code_span,code_span,medium,tools/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,templates/,code_span,code_span,medium,templates/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,examples/,code_span,code_span,medium,examples/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,examples,directory_mention,common_directory_name,medium,examples/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,/app,code_span,scope_section:code_span,high,app/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,tsconfig.base.json,code_span,scope_section:code_span,high,tsconfig.base.json,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,Packages,directory_mention,common_directory_name,medium,packages/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,test/_community/config.ts,code_span,code_span,medium,test/_community/config.ts,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,test/_community/config.ts,explicit_path,explicit_path,high,test/_community/config.ts,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,test/fields/config.ts,code_span,code_span,medium,test/fields/config.ts,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,test/fields/config.ts,explicit_path,explicit_path,high,test/fields/config.ts,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,test,code_span,code_span,low,test/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,packages/translations/src/languages/,code_span,code_span,medium,packages/translations/src/languages/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,packages/translations/src/languages/,explicit_path,explicit_path,high,packages/translations/src/languages/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,packages/richtext-lexical,explicit_path,explicit_path,high,packages/richtext-lexical/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,docs,code_span,code_span,low,docs/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,examples,code_span,code_span,low,examples/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,templates,code_span,code_span,low,templates/,True,valid,,,False,v2
payloadcms/payload,CLAUDE.md,Examples,directory_mention,common_directory_name,medium,examples/,True,valid,,,False,v2
payloadcms/payload,packages/codemod/CLAUDE.md,README.md,code_span,code_span,low,README.md,True,valid,,,False,v2
payloadcms/payload,packages/codemod/CLAUDE.md,package.json,code_span,code_span,high,package.json,True,valid,,,False,v2
payloadcms/payload,packages/codemod/CLAUDE.md,package.json,config_file,known_config_filename,high,package.json,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,src/prefect/,explicit_path,explicit_path,high,src/prefect/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,src,directory_mention,common_directory_name,medium,src/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,docs/AGENTS.md,explicit_path,explicit_path,high,docs/AGENTS.md,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,docs,directory_mention,common_directory_name,medium,docs/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,examples,directory_mention,common_directory_name,medium,examples/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,src/integrations/AGENTS.md,explicit_path,explicit_path,high,src/integrations/AGENTS.md,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,src/prefect/AGENTS.md,explicit_path,explicit_path,high,src/prefect/AGENTS.md,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,tests/AGENTS.md,explicit_path,explicit_path,high,tests/AGENTS.md,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,ui-v2/AGENTS.md,explicit_path,explicit_path,high,ui-v2/AGENTS.md,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,pyproject.toml,config_file,known_config_filename,high,pyproject.toml,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,Dockerfile,config_file,known_config_filename,high,Dockerfile,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,./src/integrations/,explicit_path,explicit_path,high,src/integrations/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,src/prefect/,code_span,code_span,medium,src/prefect/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,tests/,code_span,code_span,medium,tests/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,src/prefect/flow_engine.py,code_span,code_span,medium,src/prefect/flow_engine.py,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,tests/engine/,code_span,code_span,medium,tests/engine/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,src/prefect/flow_engine.py,explicit_path,explicit_path,high,src/prefect/flow_engine.py,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,tests/engine/,explicit_path,explicit_path,high,tests/engine/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,src/prefect/client/,code_span,code_span,medium,src/prefect/client/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,tests/client/,code_span,code_span,medium,tests/client/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,src/prefect/client/,explicit_path,explicit_path,high,src/prefect/client/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,tests/client/,explicit_path,explicit_path,high,tests/client/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,src/prefect/server/,code_span,code_span,medium,src/prefect/server/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,tests/server/,code_span,code_span,medium,tests/server/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,src/prefect/server/,explicit_path,explicit_path,high,src/prefect/server/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,tests/server/,explicit_path,explicit_path,high,tests/server/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,src/prefect/cli/,code_span,code_span,medium,src/prefect/cli/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,tests/cli/,code_span,code_span,medium,tests/cli/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,src/prefect/cli/,explicit_path,explicit_path,high,src/prefect/cli/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,tests/cli/,explicit_path,explicit_path,high,tests/cli/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,src/prefect/settings/,code_span,code_span,medium,src/prefect/settings/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,src/prefect/settings/,explicit_path,explicit_path,high,src/prefect/settings/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,src/integrations/,code_span,code_span,medium,src/integrations/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,src/integrations/,explicit_path,explicit_path,high,src/integrations/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,ui/,code_span,code_span,medium,ui/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,ui-v2/,code_span,code_span,medium,ui-v2/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,ui-v2/e2e/,code_span,code_span,medium,ui-v2/e2e/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,ui-v2/e2e/,explicit_path,explicit_path,high,ui-v2/e2e/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,client/,code_span,scope_section:code_span,high,client/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,src/prefect/,code_span,scope_section:code_span,high,src/prefect/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,src/integrations/,code_span,scope_section:code_span,high,src/integrations/,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,.gitignore,code_span,code_span,low,gitignore,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,pyproject.toml,code_span,code_span,high,pyproject.toml,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,client/pyproject.toml,code_span,code_span,high,client/pyproject.toml,True,valid,,,False,v2
prefecthq/prefect,AGENTS.md,client/pyproject.toml,explicit_path,explicit_path,high,client/pyproject.toml,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,docs/,code_span,code_span,medium,docs/,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,docs,directory_mention,common_directory_name,medium,docs/,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,docs/docs.json,code_span,code_span,medium,docs/docs.json,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,docs/docs.json,explicit_path,explicit_path,high,docs/docs.json,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,examples,directory_mention,common_directory_name,medium,examples/,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,v3/examples/,code_span,code_span,medium,docs/v3/examples/,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,examples/,code_span,code_span,medium,examples/,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,v3/examples/,explicit_path,explicit_path,high,docs/v3/examples/,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,v3/api-ref/python/,code_span,code_span,medium,docs/v3/api-ref/python/,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,v3/api-ref/cli/,code_span,code_span,medium,docs/v3/api-ref/cli/,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,v3/api-ref/python/,explicit_path,explicit_path,high,docs/v3/api-ref/python/,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,v3/api-ref/cli/,explicit_path,explicit_path,high,docs/v3/api-ref/cli/,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,v3/api-ref/rest-api/,code_span,code_span,medium,docs/v3/api-ref/rest-api/,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,v3/api-ref/rest-api/,explicit_path,explicit_path,high,docs/v3/api-ref/rest-api/,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,v3/api-ref/events/,code_span,code_span,medium,docs/v3/api-ref/events/,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,v3/api-ref/events/,explicit_path,explicit_path,high,docs/v3/api-ref/events/,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,integrations/prefect-kubernetes/api-ref/,code_span,code_span,medium,docs/integrations/prefect-kubernetes/api-ref/,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,integrations/prefect-kubernetes/api-ref/,explicit_path,explicit_path,high,docs/integrations/prefect-kubernetes/api-ref/,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,[flows documentation](/v3/concepts/flows),markdown_link,markdown_link,low,v3/concepts/flows,False,ambiguous,,,False,v2
prefecthq/prefect,docs/AGENTS.md,docs/styles/CustomStyles/WordList.yml,code_span,code_span,medium,docs/styles/CustomStyles/WordList.yml,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,docs/styles/CustomStyles/WordList.yml,explicit_path,explicit_path,high,docs/styles/CustomStyles/WordList.yml,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,docs/v3/,code_span,code_span,medium,docs/v3/,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,v3/,code_span,code_span,medium,docs/v3/,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,docs/resources/,code_span,code_span,medium,docs/resources/,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,docs/v3/,explicit_path,explicit_path,high,docs/v3/,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,docs/resources/,explicit_path,explicit_path,high,docs/resources/,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,docs/conftest.py,code_span,code_span,medium,docs/conftest.py,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,docs/conftest.py,explicit_path,explicit_path,high,docs/conftest.py,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,snippets/,code_span,code_span,medium,docs/snippets/,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,v3/how-to-guides/cloud/,code_span,code_span,medium,docs/v3/how-to-guides/cloud/,True,valid,,,False,v2
prefecthq/prefect,docs/AGENTS.md,v3/how-to-guides/cloud/,explicit_path,explicit_path,high,docs/v3/how-to-guides/cloud/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,@AGENTS.md,include_directive,include_directive,high,AGENTS.md,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,docs/AGENTS.md,code_span,code_span,medium,docs/AGENTS.md,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,docs/,code_span,code_span,medium,docs/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,docs/AGENTS.md,explicit_path,explicit_path,high,docs/AGENTS.md,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,docs,directory_mention,common_directory_name,medium,docs/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,public/app/features/alerting/unified/AGENTS.md,code_span,code_span,medium,public/app/features/alerting/unified/AGENTS.md,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,public/app/features/alerting/unified/AGENTS.md,explicit_path,explicit_path,high,public/app/features/alerting/unified/AGENTS.md,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,make run,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,make build-backend,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,pkg,directory_mention,common_directory_name,medium,pkg/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,make test-go-unit,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,make test-go-integration,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,make lint-go,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,make gen-go,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,make gen-cue,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,make gen-apps,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,apps,directory_mention,common_directory_name,medium,apps/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,make swagger-gen,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,pkg/services/featuremgmt/,explicit_path,explicit_path,high,pkg/services/featuremgmt/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,make gen-feature-toggles,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,make i18n-extract,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,make update-workspace,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,make devenv,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,make devenv-down,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,make lefthook-install,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,pkg/api/,code_span,code_span,medium,pkg/api/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,pkg/api/,explicit_path,explicit_path,high,pkg/api/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,pkg/services/,code_span,code_span,medium,pkg/services/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,pkg/services/,explicit_path,explicit_path,high,pkg/services/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,pkg/server/,code_span,code_span,medium,pkg/server/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,pkg/server/,explicit_path,explicit_path,high,pkg/server/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,pkg/tsdb/,code_span,code_span,medium,pkg/tsdb/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,pkg/tsdb/,explicit_path,explicit_path,high,pkg/tsdb/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,pkg/plugins/,code_span,code_span,medium,pkg/plugins/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,pkg/plugins/,explicit_path,explicit_path,high,pkg/plugins/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,pkg/infra/,code_span,code_span,medium,pkg/infra/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,pkg/infra/,explicit_path,explicit_path,high,pkg/infra/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,pkg/middleware/,code_span,code_span,medium,pkg/middleware/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,pkg/middleware/,explicit_path,explicit_path,high,pkg/middleware/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,pkg/setting/,code_span,code_span,medium,pkg/setting/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,pkg/setting/,explicit_path,explicit_path,high,pkg/setting/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,public/app/core/,code_span,code_span,medium,public/app/core/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,public/app/core/,explicit_path,explicit_path,high,public/app/core/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,public/app/features/,code_span,code_span,medium,public/app/features/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,public/app/features/,explicit_path,explicit_path,high,public/app/features/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,public/app/plugins/,code_span,code_span,medium,public/app/plugins/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,public/app/plugins/,explicit_path,explicit_path,high,public/app/plugins/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,public/app/types/,code_span,code_span,medium,public/app/types/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,public/app/types/,explicit_path,explicit_path,high,public/app/types/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,public/app/store/,code_span,code_span,medium,public/app/store/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,public/app/store/,explicit_path,explicit_path,high,public/app/store/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,apps/dashboard/,code_span,code_span,medium,apps/dashboard/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,apps/folder/,code_span,code_span,medium,apps/folder/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,apps/alerting/,code_span,code_span,medium,apps/alerting/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,apps/dashboard/,explicit_path,explicit_path,high,apps/dashboard/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,apps/folder/,explicit_path,explicit_path,high,apps/folder/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,apps/alerting/,explicit_path,explicit_path,high,apps/alerting/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,kinds/,code_span,code_span,medium,kinds/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,pkg/services/featuremgmt/,code_span,code_span,medium,pkg/services/featuremgmt/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,go.work,code_span,code_span,low,go.work,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,conf/defaults.ini,code_span,code_span,medium,conf/defaults.ini,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,conf/defaults.ini,explicit_path,explicit_path,high,conf/defaults.ini,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,pkg/services/sqlstore/migrations/,code_span,code_span,medium,pkg/services/sqlstore/migrations/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,pkg/services/sqlstore/migrations/,explicit_path,explicit_path,high,pkg/services/sqlstore/migrations/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,make test-go-integration-postgres,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,.nvmrc,code_span,code_span,low,nvmrc,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,go.mod,code_span,code_span,high,go.mod,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,.yarn/releases/,code_span,code_span,medium,yarn/releases/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,yarn,code_span,code_span,low,yarn/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,.yarn/releases/,explicit_path,explicit_path,high,yarn/releases/,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,go.mod,config_file,known_config_filename,high,go.mod,True,valid,,,False,v2
grafana/grafana,CLAUDE.md,packages,directory_mention,common_directory_name,medium,packages/,True,valid,,,False,v2
grafana/grafana,docs/AGENTS.md,docs,directory_mention,common_directory_name,medium,docs/,True,valid,,,False,v2
grafana/grafana,docs/AGENTS.md,docs/,code_span,code_span,medium,docs/,True,valid,,,False,v2
grafana/grafana,docs/AGENTS.md,Make sure,command,make_command_to_makefile,medium,Makefile,True,valid,,,False,v2
